Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
166,1.89986e-61,0.139816,4096,1.99707,5.87793,1.99707,0,0.0517578,0.0517578
167,1.89986e-61,0.139816,4096,2,5.87305,2,0,0.0419922,0.0419922
168,1.89986e-61,0.139816,4096,1.99902,5.8584,1.99902,0,0.0478516,0.0478516
169,1.89986e-61,0.139816,4096,2,5.83496,2,0,0.0585938,0.0585938
170,1.89986e-61,0.139816,4096,1.99902,5.81641,1.99902,0,0.0390625,0.0390625
171,1.89803e-61,0.13982,4096,1.99609,5.81348,1.99609,0,0.0429688,0.0429688
172,1.89986e-61,0.139816,4096,1.99219,5.80566,1.99219,0,0.0361328,0.0361328
173,1.89986e-61,0.139816,4096,1.99512,5.80078,1.99414,0.000976562,0.0429688,0.0429688
174,1.898e-61,0.139822,4096,1.99316,5.80273,1.99219,0.000976562,0.0390625,0.0390625
175,1.89615e-61,0.139834,4096,1.98926,5.81641,1.98828,0.000976562,0.0351562,0.0351562
176,1.89986e-61,0.139816,4096,1.99219,5.81641,1.99121,0.000976562,0.03125,0.03125
177,1.89986e-61,0.139816,4096,1.99316,5.82812,1.99219,0.000976562,0.0390625,0.0390625
178,1.89986e-61,0.139816,4096,1.99512,5.83887,1.99316,0.00195312,0.0332031,0.0332031
179,1.898e-61,0.139822,4096,1.99316,5.83887,1.99023,0.00292969,0.0439453,0.0439453
180,1.89986e-61,0.139816,4096,1.99414,5.84863,1.99219,0.00195312,0.0419922,0.0419922
181,1.89986e-61,0.139816,4096,1.99023,5.83008,1.98828,0.00195312,0.0390625,0.0390625
182,1.898e-61,0.139822,4096,1.9873,5.83594,1.98633,0.000976562,0.0361328,0.0361328
183,1.89986e-61,0.139816,4096,1.99023,5.84961,1.99023,0,0.0439453,0.0439453
184,1.89986e-61,0.139816,4096,1.98926,5.85449,1.98828,0.000976562,0.0332031,0.0332031
185,1.89986e-61,0.139816,4096,1.98828,5.86426,1.98828,0,0.0263672,0.0263672
186,1.898e-61,0.139822,4096,1.99023,5.875,1.99023,0,0.046875,0.046875
187,1.898e-61,0.139828,4096,1.98926,5.8916,1.98926,0,0.0419922,0.0419922
188,1.89615e-61,0.13984,4096,1.98438,5.91016,1.98438,0,0.0419922,0.0419922
189,1.89986e-61,0.139816,4096,1.9873,5.91406,1.9873,0,0.0429688,0.0429688
190,1.898e-61,0.139828,4096,1.98926,5.92188,1.98926,0,0.0400391,0.0400391
191,1.89986e-61,0.139816,4096,1.99414,5.90332,1.99414,0,0.0439453,0.0439453
192,1.89986e-61,0.139816,4096,1.99316,5.91016,1.99316,0,0.0419922,0.0419922
193,1.898e-61,0.139828,4096,1.99316,5.89453,1.99316,0,0.0410156,0.0410156
194,1.89986e-61,0.139816,4096,1.99414,5.88477,1.99414,0,0.0419922,0.0419922
195,1.89986e-61,0.139816,4096,1.99512,5.90918,1.99512,0,0.0439453,0.0439453
196,1.89986e-61,0.139816,4096,1.99512,5.91602,1.99512,0,0.046875,0.046875
197,1.89615e-61,0.139828,4096,1.99512,5.90527,1.99512,0,0.0517578,0.0517578
198,1.89986e-61,0.139816,4096,1.99316,5.90527,1.99316,0,0.0371094,0.0371094
199,1.898e-61,0.139828,4096,1.99414,5.93555,1.99414,0,0.0449219,0.0449219
200,1.89986e-61,0.139816,4096,1.99512,5.95312,1.99512,0,0.0380859,0.0380859
201,1.89986e-61,0.139816,4096,1.99414,5.97949,1.99414,0,0.0458984,0.0458984
202,1.898e-61,0.139822,4096,1.99316,5.98535,1.99316,0,0.0449219,0.0449219
203,1.898e-61,0.139822,4096,1.9873,5.95703,1.9873,0,0.0292969,0.0292969
204,1.89986e-61,0.139816,4096,1.99121,5.93848,1.99121,0,0.0390625,0.0390625
205,1.898e-61,0.139828,4096,1.98926,5.9375,1.99023,0,0.0429688,0.0429688
206,1.89986e-61,0.139816,4096,1.99023,5.95312,1.99121,0,0.0449219,0.0449219
207,1.89986e-61,0.139816,4096,1.98828,5.95215,1.98828,0.000976562,0.0439453,0.0439453
208,1.89986e-61,0.139816,4096,1.98926,5.96484,1.98926,0.00195312,0.0429688,0.0429688
209,1.89986e-61,0.139816,4096,1.98438,5.99219,1.98438,0,0.0341797,0.0341797
210,1.89986e-61,0.139816,4096,1.9834,6,1.9834,0,0.0458984,0.0458984
211,1.89986e-61,0.139816,4096,1.97949,6.02637,1.97949,0,0.0410156,0.0410156
212,1.89986e-61,0.139816,4096,1.97754,6.07031,1.97754,0,0.0341797,0.0341797
213,1.89986e-61,0.139816,4096,1.98047,6.07617,1.98047,0,0.0410156,0.0410156
214,1.89615e-61,0.139841,4096,1.97363,6.06152,1.97363,0,0.0341797,0.0341797
215,1.898e-61,0.139822,4096,1.98047,6.04297,1.98047,0,0.0419922,0.0419922
216,1.89429e-61,0.139847,4096,1.97852,6.01465,1.97754,0.000976562,0.0439453,0.0439453
